,compound,headline,neg,neu,pos,label
13,0.9926,"Like usual, Comcast (NASDAQ:CMCSA) stock delivered an impressive quarterly report, producing both an earnings beat and a continuing path to profit growth amid increased competition.Source: Shutterstock However, CMCSA barely reacted to the news. It also fell in subsequent days along with the market. Although Comcast stock offers a cheap valuation and double-digit growth, the equity is poorly positioned to deliver shareholder return at current levels. Comcast Seems SolidIn many respects, investors should congratulate the management of Comcast. Despite Netflix (NASDAQ:NFLX) disrupting its cable TV industry, Comcast has thrived through internet service and becoming a content provider of its own. While TV subscriptions continue to fall in line with the cord-cutting trend, the company continues to add internet customers. Moreover, as the owner of NBC as well as Universal Pictures and its theme parks, it becomes a viable competitor to Disney (NYSE:DIS).InvestorPlace - Stock Market News, Stock Advice & Trading TipsThat said, our own Josh Enomoto pointed out that Comcast stock &quot;needs some new catalysts.&quot; He could not be more right.  * 10 Cyclical Stocks to Buy (or Sell) Now As Enomoto stated, Comcast gave investors a solid yet lackluster earnings report in July. Although the company missed on revenue, it beat Wall Street estimates and added more subscribers than analysts had expected. The company also maintained its quarterly dividend payment of 21 cents per share. This payout has risen for eight straight years and pays a yield of 2%. But CMCSA Stock Lacks an Obvious CatalystSo what?A 2% yield amounts to Comcast stock slightly beating the S&P 500 average. Like its dividend, I expect the company to continue growing, but not on an impressive scale. The company needed to replace its lagging pay-TV content with a streaming service and is doing so. Moreover, it will have to compete not only with Netflix and Disney, but also Amazon's (NASDAQ:AMZN) Prime Video, Apple's (NASDAQ:AAPL) Apple TV service and several others.Even if Comcast's streaming service succeeds, it will not command the revenues that cable TV service brought in its heyday. Enomoto argues that Comcast stock supports less lucrative theme parks and content businesses compared to Disney. Again, I have to agree. The One Thing That Could Invigorate Comcast StockHowever, Comcast stock could have a potential catalyst in its valuation. CMCSA trades at a forward price-to-earnings ratio of about 12.2. Moreover, profit growth has remained robust. Consequently, analysts expect earnings increases of 20% this year and 11.1% in fiscal 2020.This makes Comcast stock a bargain, but one I would not buy at this moment. The Federal Reserve rate cut and the escalation in the U.S.-China trade war has brought a generalized stock selloff. CMCSA will fall with almost every other stock under this circumstance.Still, its P/E ratio has averaged around 16.3 over the last five years, well above current levels. The CMCSA stock price stands just above the $41 per share level as of the time of this writing. Investors should also note the stock trades near all-time highs currently. Comcast stock bounced back in both 2016 and 2018 when it reached the low-$30s-per-share level. Hence, traders are now dealing with a range-bound equity.A return to the low-$30s-per-share floor would bring the P/E ratio into the single digits and create a buying opportunity. Moreover, if it sustained itself above the $45.30 per share all-time high and broke this price ceiling, it would probably become a buy as well.Comcast has given little indication it will generate excitement in the coming years. However, at the right price, CMCSA stock could deliver the excitement the company has not.As of this writing, Will Healy did not hold a position in any of the aforementioned stocks. You can follow Will on Twitter at @HealyWriting. More From InvestorPlace  * 2 Toxic Pot Stocks You Should Avoid   * 10 Cyclical Stocks to Buy (or Sell) Now   * 7 Biotech ETFs That Should Remain Healthy   * 7 of the Hottest AI Stocks to Buy Now The post Comcast Stock Has No Catalyst Unless This One Thing Happens appeared first on InvestorPlace.",0.038,0.847,0.115,1
14,-0.2327,"Leading the Apple (NASDAQ:AAPL) rumor mill today is news of when the iPhone 11 line will come out. Today, we'll look at that and other Apple Rumors for Tuesday.Source: Shutterstock iPhone 11 Release Date: The release date for Apple's iPhone 11 lineup has leaked, reports BGR. The leaks comes from SoftBank (OTCMKTS:SFTBY) President Ken Miyauchi. In response to a question about a new law that will affect data plans and smartphone sales, Miyauchi mentioned that the iPhone would have to deal with the current system for 10 days before the change goes into effect. The new law lands on Oct. 1, which going backwards means that the iPhone 11 line will launch on Sept. 20.16-Inch MacBook: Intel (NASDAQ:INTC) CPUs may make their way into the 16-inch MacBook, MacRumors notes. The rumor claims that Apple will be using the ninth-generation of Intel processors in the upcoming MacBook. This falls in line with previous MacBook releases for this year. It also means that the tech company isn't quite ready to switch to the 10th-gen processors from Intel.InvestorPlace - Stock Market News, Stock Advice & Trading TipsMac Face ID: Apple now has a patent for using Face ID on its Mac devices, reports 9to5Mac. The patent mentions the identification system would be tied to the camera for the computer. It also details how the camera could wake the computer when the person sits down in front of it. Another interesting feature is the ability to delay sleep mode so long as the person remains in front of the Mac.Subscribe to Apple Rumors As of this writing, William White did not hold a position in any of the aforementioned securities.The post Tuesday Apple Rumors: iPhone 11 Release Date Leaks appeared first on InvestorPlace.",0.024,0.959,0.017,-1
15,0.0,The Apple Card is available. The first group of public test users is trying the card. The company unveiled the card five months ago.,0.0,1.0,0.0,0
16,0.9895,"Recently, citing &quot;global developments&quot; and &quot;muted inflation,&quot; the Federal Open Market Committee cut interest rates by 25 basis points. That was the Fed's first rate cut since 2008, during the depths of the Great Recession. So it's a big deal.Source: Shutterstock Wall Street knew the cut was coming … and reacted with a yawn. However, investors wanted more and Federal Reserve Chair Jerome Powell disappointed them.During his news conference, he basically said not to expect any more rate cuts for the rest of the year.InvestorPlace - Stock Market News, Stock Advice & Trading Tips&quot;We started off [the year] expecting some rate increases. We then moved to a patient setting for a few months and now we've moved here,&quot; Powell said. &quot;As we've moved to more accommodative policy, the economy has actually performed as expected with that gradual increase in support.&quot;Wall Street didn't expect that -- and didn't like it. The Dow Jones Industrial Average immediately plunged 334 points. The S&P 500 and Nasdaq Composite also both received better than 1% haircuts.In other words, folks panicked.  * 10 Cyclical Stocks to Buy (or Sell) Now And when people panic, they dump stocks with little regard to their real values or ability to produce income. They sell first and ask questions later. The Time to Look for Forever Stocks to BuyI don't want you do that in a similar situation. I want you to keep your head while others are losing theirs.You see, panic creates opportunities.For example, the wake of the 2008 credit crisis was an amazing time to buy business like Apple (NASDAQ:AAPL), Altria Group (NYSE:MO) (the world's largest cigarette maker), and Starbucks (NASDAQ:SBUX).Apple tripled in value off its 2009 bottom in less than two years. Altria doubled off its bottom in about two years. Starbucks more than tripled in value off its bottom in about two years.Days like this are the best time to add to your holdings in what I call &quot;Forever Stocks.&quot; These are stocks and funds that you hold through good times and bad -- especially if they pay a steadily rising dividendI tell my readers all the time that they should think of these investments as their core holdings. Treat these Forever Stocks as your &quot;Elite 8&quot; or &quot;Top 10&quot; -- or whatever number you decide on. In my experience, eight to 10 stocks are ideal. In total, these stocks should represent about 25% to 35% of your total portfolio.These are the stocks you hold through thick and thin, unless the rationale for owning them changes significantly or you decide to replace one of them with a different stock.And then you buy more of them when opportunity strikes -- days when the market drops. After all, buying a great stock near a major peak is less ideal than buying it near a major low. Fantastic Gains in StoreWe are still near the market's peak, but the investment gains that can accrue from buying an excellent stock at even the worst times can be astonishing. Many, many times, my most outstanding investments started off miserably.In 1999, I produced an institutional research product in which I recommended buying shares of Royal Garden Resorts (now known as Minor International), a Thai hospitality company.Two years after I recommended it, the stock was down 37%. But I held on.And despite this dismal start, Royal Garden went on to post gains of:  * 100% after three years  * 500% after six years  * 1,000% after seven years  * 2,000% after eight years  * 2,888% after nine yearsAlso in 1999, I recommended buying shares of Adidas (OTCMKTS:ADDYY), the German shoe manufacturer. It, too, plummeted shortly after my recommendation. Two years later, the stock was still down 50%.But after 18 years, the stock had become a 10-bagger -- up more than 1,000%. That result was six times better than what the S&P 500 delivered over the same time frame.In hindsight, I recommended both of these stocks at &quot;the wrong time.&quot; And yet, both of them went on to produce large, market-beating returns. It Will Happen AgainEven if the latest opportunity has passed, panic will strike again. After all, stock market crashes and other financial shocks aren't aberrations. They are common occurrences. Just look at American history over the past 120 years or so.During the last big market crash -- 2007-2008 -- instead of panicking, I showed my readers how to short dozens of the big banks and mortgage companies that eventually went bust.People who followed my recommendations could have walked away with gains like 1,415% on Countrywide Financial, 4,408% on Fannie Mae, and even 6,425% on Freddie Mac.Smart investors prepare themselves for all possibilities -- especially when their retirement savings are at stake -- because even a relatively minor decline of 20% could set your retirement back several years or more.That's why I've spent the past year and more developing Bear Market 2020: The Survival Blueprint.Part &quot;diary&quot; and part &quot;owner's manual,&quot; in Bear Market 2020 I take you by the hand and walk you, step-by-step, through the six tactics that will help you and your family navigate America's next bear market.History shows that it's only a matter of time before the next financial shock. So if you'd like to insure you and your family's financial well-being, this is the perfect book for you.Click here to find out how to get it.Eric Fry is a 30-year international finance expert, former hedge fund manager, and InvestorPlace's resident expert on global investment trends. He founded his own investment management firm and served as a partner several others. In 2016, he won the Portfolios With Purpose stock-picking contest - Wall Street's most prestigious investment competition - making him America's Top Trader. With Fry's Investment Report, Eric's goal is to track the world's biggest macroeconomic and geopolitical events - and help investors make big gains from those emerging opportunities. Click here to learn more. More From InvestorPlace  * 2 Toxic Pot Stocks You Should Avoid   * 10 Cyclical Stocks to Buy (or Sell) Now   * 7 Biotech ETFs That Should Remain Healthy   * 7 of the Hottest AI Stocks to Buy Now The post Make This One Move When the Markets Get Bloody appeared first on InvestorPlace.",0.072,0.822,0.107,1
17,0.9896,"(Bloomberg) -- As tropical storm Barry roared ashore in Louisiana last month, Entergy Corp. monitored the electric grid using airwaves that have long been reserved for utilities and first responders.Those secure, wireless signals helped the company manage outages, even while winds of up to 65 miles (105 kilometers) per hour lashed the region. But as the world becomes increasingly wireless, U.S. regulators plan to open more of those airwaves to tech companies.The move pits two of the most powerful U.S. industries against each other. Tech giants including Apple Inc. and Facebook Inc. contend the airwaves, in the 6 gigahertz range, should be open for use by the next generation of lightning-fast wireless networks. Utilities say the new networks threaten to create interference that could make it harder to keep the lights on.“Opening the 6 GHz band to unlicensed users could cause interference with our signals and could jeopardize the reliability of our communications network,&quot; said Mike Twomey, a senior vice president for federal policy and government affairs for New Orleans-based Entergy.As wires increasingly go the way of rotary phones, nearly every industry is trying to push into underused spectrum space. The number of Wi-Fi hotspots globally is forecast to grow sixfold by 2021 as fifth-generation, or 5G, cellular networks take shape to underpin everything from autonomous vehicles to industrial robots, according to the Federal Communications Commission. That means opening more space on the radio spectrum.The airwaves in the 6 gigahertz range used by utilities, pipeline operators, police and fire departments and others happen to be ideally positioned on the spectrum to accommodate 5G networks. Tech and telecom companies say technology exists to open them up without interfering with emergency services.“It’s no longer feasible for a band like this with so much potential for sharing to remain with existing incumbents and no additional usage,” said Alice Tornquist, vice president of spectrum strategy and technology policy at Qualcomm Inc., the chip giant.Facebook declined to comment. Apple did not respond.FCC PriorityThe debate comes as the FCC is under orders from Congress to open up more airwaves for broadband service. The move “could be a big boost to our nation’s 5G future,” the agency’s Chairman Ajit Pai said last year as it proposed the change.Aside from their concerns about interference, utilities say the FCC seems to be rushing its proposal through.“Keeping the 6 GHz band is critical to the reliability of the electric grid,” said Joy Ditto, who heads the Washington-based Utilities Technology Council. “There’s no ready replacement.”Neil Grace, an FCC spokesman, said opening those airwaves “will allow a valuable spectrum resource to be more intensively used to benefit consumers.” The move, he said, would not cause interruptions for existing users.A spokeswoman for Duke Energy Corp., however, said the FCC’s proposed approach would not shield utilities from harmful interference. “Any benefit from the expansion of the band would be outweighed by the threat of interference to electric utilities’ communications systems,” Duke’s Catherine Butler said.Congress WatchingThe debate has spilled into Congress. In June, Alaska Senator Lisa Murkowski, a Republican, expressed concerns about the move in a letter to Pai. “The communication assets installed on the power grid are designed to ensure reliability,” she wrote. “It is important to recognize that electricity service in a region cannot be compromised in an effort to make 6GHz more broadly available.’’The issue has spurred calls for more coordination between the FCC and the Federal Energy Regulatory Commission, which oversees utilities. FERC Commissioner Bernard McNamee said it’s crucial that both agencies apply the same standards when it comes to communications used by utilities. “The consequences of confusion could be detrimental to the electric grid and ultimately the American people,” he said in an email.Under a worst-case scenario, utilities may be forced to switch to laying expensive fiber wire to replace wireless communications, according to Entergy, which owns utilities serving Arkansas, Louisiana, Mississippi and Texas. That could cost customers tens of millions of dollars, Twomey said.“If the FCC plans to move forward on this, we want it tested and want to be part of the testing to make sure the interference can be mitigated,’’ said Brian O’Hara, senior director of regulatory issues at the National Rural Electric Cooperative Association.(Adds utility statement from Duke Energy in 13th paragraph.)&#92;--With assistance from Todd Shields and David R. Baker.To contact the reporters on this story: Millicent Dent in New York at mdent13@bloomberg.net;Stephen Cunningham in Washington at scunningha10@bloomberg.netTo contact the editors responsible for this story: David Marino at dmarino4@bloomberg.net, Joe Ryan, Steven FrankFor more articles like this, please visit us at bloomberg.com©2019 Bloomberg L.P.",0.028,0.884,0.088,1
18,0.8121,"It's unlikely the DoJ or FTC will implement any breakup of Big Tech, but just to be on the safe side, Alphabet and the rest should consider some defensive tactics such as forming subsidiaries out of their most prominent non-core businesses.",0.0,0.819,0.181,1
19,0.0,Apple plans to use Qualcomm’s (QCOM) ultrasonic fingerprint sensor for the iPhone’s in-display TouchID feature.,0.0,1.0,0.0,0
20,0.0,FileMaker — the Apple software subsidiary once led by the late Silicon Valley coach Bill Campbell — announced Tuesday that it had acquired the Italian development platform Stamplay and gone back to its old name.,0.0,1.0,0.0,0
21,0.0,"Watch for ripple effects on the price of everything from Christmas ornaments to wigs. In less than a month, every product entering the U.S. from China—except those with exemptions—will face an import tax of 10% to 25%.",0.0,1.0,0.0,0
22,0.128,China Arrests Yuan's Plunge. Will Markets Gain?,0.257,0.442,0.301,1
23,-0.3818,Benchmarks fell to their lowest levels for the year on Monday.,0.206,0.794,0.0,-1
24,0.8087,"The unit known as FileMaker, whose tools help business users make custom apps without having to write as much computer code as a from-scratch app, will now be called Claris International Inc. Claris has been an Apple subsidiary since the 1980s.  Apple-owned Claris competes against Microsoft Corp's Power Apps, Google's App Maker and Salesforce.com Inc's Lightning.  ""We recognize the gap in skills to satisfy this huge custom app demand,"" Claris Chief Executive Brad Freitag told Reuters.",0.0,0.896,0.104,1
25,-0.212,U.S. stock index futures rebounded strongly ahead of trading on Tuesday after Chinese authorities acted to arrest the yuan???s decline.,0.128,0.781,0.091,-1
