publication_date,compound,headline,neg,neu,pos,label
2016-08-08 15:18:31,0.0,"The Zacks Analyst Blog Highlights: ExxonMobil, Chevron, Merck, Pfizer and Procter & Gamble",0.0,1.0,0.0,0
2016-08-08 16:16:24,0.0,"Dow Movers: MRK, CAT",0.0,1.0,0.0,0
2016-08-08 19:11:53,0.0,Monday's ETF with Unusual Volume: PPH,0.0,1.0,0.0,0
2016-08-09 02:58:00,0.34,"MESO Gains After Hours, PFNX Gets It Back, CHRS' Humira Biosimilar Meets Goals",0.0,0.833,0.167,1
2016-08-09 12:33:02,0.6633,Cardinal Health a Top Ranked SAFE Dividend Stock With 2.1% Yield (CAH),0.0,0.624,0.376,1
2016-08-09 13:18:03,0.0,"Astrazeneca PLC (AZN) Ex-Dividend Date Scheduled for August 10, 2016",0.0,1.0,0.0,0
2016-08-09 19:56:16,0.0,Gilead Sciences Inc. Stock in 3 Charts,0.0,1.0,0.0,0
2016-08-10 13:27:25,0.0,"Novo Nordisk A/S (NVO) Ex-Dividend Date Scheduled for August 11, 2016",0.0,1.0,0.0,0
2016-08-10 13:29:35,0.0,"Eli Lilly and Company (LLY) Ex-Dividend Date Scheduled for August 11, 2016",0.0,1.0,0.0,0
2016-08-10 14:05:00,-0.4767,"Former Law Partner, Adviser Arrested For Insider Trading",0.307,0.693,0.0,-1
2016-08-10 14:05:00,-0.2023,"Lawyer, Adviser Charged With Insider Trading",0.265,0.735,0.0,-1
2016-08-10 15:53:08,0.3818,Why Ariad Pharmaceuticals Gained 26.9% in July,0.0,0.698,0.302,1
2016-08-10 16:04:05,0.0,Pfizer’s Business Segments and Their Performance,0.0,1.0,0.0,0
2016-08-10 16:52:39,0.296,"IWD, JNJ, JPM, PFE: ETF Inflow Alert",0.0,0.732,0.268,1
2016-08-10 20:41:49,-0.6597,"Lilly Breast Cancer Drug Study Rolls On, Pushing Back Launch Date",0.306,0.694,0.0,-1
2016-08-10 20:58:00,0.0,Mylan's Time Leaning on EpiPens Is Rapidly Approaching an End,0.0,1.0,0.0,0
2016-08-10 23:05:35,-0.2023,Two charged with insider trading over 2010 Pfizer acquisition,0.184,0.816,0.0,-1
2016-08-11 04:51:58,-0.2023,"[$$] Lawyer, Adviser Charged With Insider Trading",0.231,0.769,0.0,-1
2016-08-11 12:54:05,0.4927,More Good News from Ireland,0.0,0.556,0.444,1
2016-08-11 13:06:07,0.3818,Understanding Growth Contributors for Pfizer,0.0,0.606,0.394,1
2016-08-11 13:31:34,0.5106,Post Earnings Coverage as Allergan Tops Earnings Expectation Bolstered By Botox,0.0,0.752,0.248,1
2016-08-11 15:04:54,0.0,Pfizer’s Products with Decreasing Revenues,0.0,1.0,0.0,0
2016-08-11 15:36:53,-0.4404,Put sale sees limited downside for Pfizer,0.438,0.562,0.0,-1
2016-08-11 20:33:59,-0.3597,5 DJIA Stocks That Really Missed Out on the All-Time High Rally Thursday,0.185,0.815,0.0,-1
2016-08-11 21:03:30,0.0,"PFIZER INC Files SEC form 10-Q, Quarterly Report",0.0,1.0,0.0,0
2016-08-11 23:14:23,0.0,Five Healthcare Stocks Billionaires Are Bullish On,0.0,1.0,0.0,0
2016-08-12 13:04:39,0.0,Pfizer-Anacor Deal Completed in June 2016,0.0,1.0,0.0,0
2016-08-12 16:48:22,0.0,How To YieldBoost PFE To 5.2% Using Options,0.0,1.0,0.0,0
2016-08-12 20:24:46,0.0,Valeant Pharmaceuticals (VRX) Stock: The Philidor Nightmare Isn’t Over,0.0,1.0,0.0,0
2016-08-14 23:51:00,0.0,"Mark Your Calendar For Aug.17, TRIL To Report Data In Q4, FLML Launches Akova",0.0,1.0,0.0,0
2016-08-15 12:51:10,0.4939,"Health Care Sector Update for 08/15/2016: ACRX, ADK, JNJ, PFE, ABT, MRK, AMGN",0.0,0.789,0.211,1
2016-08-15 13:04:20,0.0,Recent Corporate and Pipeline Developments for Pfizer,0.0,1.0,0.0,0
2016-08-15 15:04:13,0.2732,Pfizer’s 2Q16 Profitability and Financial Guidance,0.0,0.704,0.296,1
2016-08-15 15:41:00,-0.2263,Rosenstein's Jana Partners: Walgreens Stake Gets Slashed 60%; Trims ConAgra; Adds AutoNation,0.147,0.853,0.0,-1
2016-08-15 16:01:49,0.0,GlycoMimetics Initiated At Outperform By Cowen And Company,0.0,1.0,0.0,0
2016-08-15 16:58:00,-0.296,What CVS and Express Scripts' Drug Exclusion Lists Means for Your Portfolio,0.167,0.833,0.0,-1
2016-08-15 17:05:26,0.5267,Credit Suisse Issues Top Pharma Picks in Bull/Bear Upside Analysis,0.0,0.645,0.355,1
2016-08-15 19:35:07,0.0,Why is Time (TIME) Stock Popping Today?,0.0,1.0,0.0,0
2016-08-15 20:25:30,0.0,Hedge funds made big changes at drug companies in 2nd qtr -filings,0.0,1.0,0.0,0
2016-08-15 22:37:07,0.0,"Paulson Shifts Health-Care Stakes, Adds FedEx",0.0,1.0,0.0,0
2016-08-16 13:04:13,0.0,Analyzing the Future Estimates for Pfizer,0.0,1.0,0.0,0
2016-08-16 13:11:28,0.4939,"Health Care Sector Update for 08/16/2016: REPH, OGXI, JNJ, PFE, ABT, MRK, AMGN",0.0,0.789,0.211,1
2016-08-16 13:14:00,0.0,ViiV Healthcare Launches Phase III Programme Evaluating a Two-drug Regimen Combining Dolutegravir and Lamivudine for HIV-1 Treatment,0.0,1.0,0.0,0
2016-08-16 13:35:00,-0.2023,Ackman: Pershing Square Slashes Zoetis Stake,0.265,0.735,0.0,-1
2016-08-16 15:04:37,-0.6597,Abraxane Still Leads the US Metastatic Pancreatic Cancer Segment,0.355,0.645,0.0,-1
2016-08-16 18:00:00,0.34,"For Value Investors, Arbiter Partners Knows How to Pick 'Em",0.0,0.789,0.211,1
2016-08-16 22:33:06,-0.4215,Pfizer's Bold Bid to Conquer Cancer,0.4,0.364,0.236,-1
2016-08-16 22:48:24,0.0,Novartis Needs to Stem the Bleeding From Gleevec Decline,0.0,1.0,0.0,0
2016-08-16 23:22:50,-0.296,U.S. Market Indexes Lower on Tuesday,0.306,0.694,0.0,-1
2016-08-17 12:13:22,0.0,"With new president and focus on big investors, Cellceutix aims for the Nasdaq",0.0,1.0,0.0,0
2016-08-17 14:57:56,-0.4939,Jason Karp’s Biggest Contributors in Q2 Amid Tourbillon’s Disappointing Performance,0.262,0.738,0.0,-1
2016-08-17 15:33:09,0.0,"Dow Movers: CSCO, PFE",0.0,1.0,0.0,0
2016-08-17 16:03:00,0.0,Billionaire Money Managers Sold off This Stock in the 2nd Quarter,0.0,1.0,0.0,0
2016-08-17 18:45:00,0.0,Court Says Pfizer''s Biosimilar of J&J''s Remicade Doesn''t Infringe Patent,0.0,1.0,0.0,0
2016-08-17 18:45:00,0.0,Court Says Pfizer's Biosimilar of J&J's Remicade Doesn't Infringe Patent,0.0,1.0,0.0,0
2016-08-17 19:10:13,0.0,What Are Analysts’ Recommendations for Mylan and Its Peers?,0.0,1.0,0.0,0
2016-08-17 20:01:15,0.0,"3M, Chevron Pull Dow Higher Wednesday",0.0,1.0,0.0,0
2016-08-17 20:11:40,-0.4767,Stocks close slightly higher as Fed rate-hike debate rages on,0.256,0.744,0.0,-1
2016-08-17 20:32:01,0.0,"Merck Among Drug Giants Looking To Buy Medivation, Says Report",0.0,1.0,0.0,0
2016-08-17 22:02:41,-0.2263,"Teva Pharmaceutical Industries Limited (TEVA) Ex-Dividend Date Scheduled for August 18, 2016",0.147,0.853,0.0,-1
2016-08-17 22:10:36,0.0,[$$] Court Says Pfizer's Biosimilar of J&J's Remicade Doesn't Infringe Patent,0.0,1.0,0.0,0
2016-08-17 22:47:53,0.0,Glaxo/Pfizer ViiV Healthcare Starts HIV Drug Combo Study,0.0,1.0,0.0,0
2016-08-17 23:16:25,-0.1531,"Patent for J&J's Remicade invalidated, cheaper version looms",0.186,0.814,0.0,-1
2016-08-18 09:00:00,0.3818,Pfizer’s Lyrica Fuels Endowment Growth at Northwestern: Chart,0.0,0.729,0.271,1
2016-08-18 11:39:11,0.0,"J&J (JNJ) Remicade Patent Invalid, Pfizer to Launch Inflectra?",0.0,1.0,0.0,0
2016-08-18 13:19:20,0.0,"Johnson & Johnson (JNJ) Ex-Dividend Date Scheduled for August 19, 2016",0.0,1.0,0.0,0
2016-08-18 14:47:53,0.765,Why Pfizer's Acquisition of Anacor Is a Great Fit,0.0,0.476,0.524,1
2016-08-18 15:18:00,-0.5719,Why I Hate Johnson & Johnson Right Now (But I'll Never Sell),0.291,0.709,0.0,-1
2016-08-18 16:47:42,0.0,Why Portola Pharmaceuticals Inc Is Plunging Today,0.0,1.0,0.0,0
2016-08-18 16:50:49,0.0,How Much Medivation Can Really Fetch in a Buyout,0.0,1.0,0.0,0
2016-08-18 18:26:20,0.5574,Recent Patent Ruling A Positive For Pfizer,0.0,0.581,0.419,1
2016-08-18 18:34:21,0.0,"Activist Keith Meister Unloads Large Pfizer (PFE) Position, Takes Stakes in B/E Aerospace (BEAV), Johnson Controls (JCI)",0.0,1.0,0.0,0
2016-08-18 18:53:36,-0.4404,Deutsche Takes A Look At Johnson & Johnson's Patent Woes,0.293,0.707,0.0,-1
2016-08-18 19:11:15,0.0,Why Did We Update Our Price Estimate For Bristol-Myers Squibb?,0.0,1.0,0.0,0
2016-08-18 20:21:00,0.0,10 Highest Healthcare Dividend Stocks,0.0,1.0,0.0,0
2016-08-18 20:40:00,-0.5423,"Is It ""Game Over"" After Portola's FDA Rejection?",0.333,0.667,0.0,-1
2016-08-18 22:44:57,0.0,US Stocks Higher after July FOMC Minutes,0.0,1.0,0.0,0
2016-08-18 22:45:51,-0.5423,Is It &quot;Game Over&quot; After Portola's FDA Rejection?,0.333,0.667,0.0,-1
2016-08-19 11:00:00,-0.2732,"No Pain, Potential for Lots of Gain",0.426,0.31,0.264,-1
2016-08-19 12:30:00,0.5719,Employers Slowly Adopt Value-Based Health Benefit Designs,0.0,0.515,0.485,1
2016-08-19 13:19:55,0.4939,"Health Care Sector Update for 08/19/2016: JNJ, PFE, ABT, MRK, AMGN, XLV, ALR, CUTR, CERU",0.0,0.814,0.186,1
2016-08-19 15:25:24,0.0,Teva Pharmaceutical’s 2016 Valuation Compared to Peers,0.0,1.0,0.0,0
2016-08-19 16:45:41,0.0,"Noteworthy ETF Inflows: HDV, PFE, MRK, INTC",0.0,1.0,0.0,0
2016-08-19 19:00:00,0.0,Who Is Driving Pfizer's Management Team? (PFE),0.0,1.0,0.0,0
2016-08-19 21:09:21,0.4576,"After Hours Most Active for Aug 19, 2016 :  LDOS, NI, PFE, YHOO, CMCSA, QQQ, MSFT, PYPL, IDTI",0.0,0.842,0.158,1
2016-08-19 22:41:06,-0.1531,FDA Approves TROXYCA® ER (oxycodone hydrochloride and naltrexone hydrochloride) Extended-Release Capsules CII with Abuse-Deterrent Properties for the Management of Pain,0.137,0.75,0.113,-1
2016-08-19 23:25:00,-0.4939,"Big Sell-Off of Pfizer Amid Merger Collapse (PFE, AGN)",0.286,0.714,0.0,-1
2016-08-21 08:01:23,0.0,Is Pfizer on Its Way Up?,0.0,1.0,0.0,0
2016-08-21 16:04:14,-0.4215,[$$] US doctors waste millions on branded medicines,0.286,0.714,0.0,-1
2016-08-21 16:33:34,0.0,Curbing Excessive Exuberance May be Premature,0.0,1.0,0.0,0
2016-08-21 17:45:12,0.0,3 Reasons Medivation Is the Juiciest Target in Biotech,0.0,1.0,0.0,0
2016-08-21 21:08:00,0.4939,Pfizer Nears Agreement To Buy Medivation -- Sources,0.0,0.686,0.314,1
2016-08-21 21:55:00,0.4939,Pfizer Nears Agreement to Buy Medivation,0.0,0.61,0.39,1
2016-08-21 22:03:06,0.0,Pfizer Said Close to $14 Billion Deal to Acquire Medivation,0.0,1.0,0.0,0
2016-08-21 22:05:00,0.4939,Pfizer Reportedly Nears Agreement To Buy Medivation For About $14 Bln,0.0,0.758,0.242,1
2016-08-21 22:09:41,0.0,Pfizer nears $14 billion deal for Medivation-source,0.0,1.0,0.0,0
2016-08-21 22:39:16,0.0,Pfizer said to be near $14 billion acquisition of Medivation,0.0,1.0,0.0,0
2016-08-21 22:40:00,0.4939,"Pfizer Nears Agreement to Buy Medivation, Sources Say -- Update",0.0,0.738,0.262,1
2016-08-21 23:15:37,0.0,Pfizer nears deal to acquire Medivation for close to $14 bln -sources,0.0,1.0,0.0,0
2016-08-21 23:16:23,0.5859,Pfizer’s Medivation Win; ’Ben-Hur’ Throws a Wheel: Sunday Wrap,0.0,0.648,0.352,1
2016-08-21 23:18:05,0.0,Pfizer nears deal to acquire Medivation for close to $14 billion - sources,0.0,1.0,0.0,0
2016-08-21 23:27:35,0.0,Pfizer nears deal to acquire Medivation for close to $14 billion,0.0,1.0,0.0,0
2016-08-21 23:52:57,-0.6597,Pfizer is reportedly close to spending $14 billion on cancer drugmaker Medivation,0.286,0.714,0.0,-1
2016-08-22 00:09:22,0.0,Pfizer Said to Be Close to $14B Deal for Medivation,0.0,1.0,0.0,0
2016-08-22 01:34:00,0.0,"PFE, SUPN Get FDA Nod, SNY Will Have To Wait Till Nov., Xenetic On The Move",0.0,1.0,0.0,0
2016-08-22 01:56:00,0.0,Pfizer Reportedly Nears $14 Bln Deal To Acquire Medivation,0.0,1.0,0.0,0
2016-08-22 02:48:00,0.0,Pfizer Near $14 Billion Deal for Biotech -- WSJ,0.0,1.0,0.0,0
2016-08-22 04:25:00,0.0,U.S. Stock Futures Slip on Rate Concerns,0.0,1.0,0.0,0
2016-08-22 04:27:50,0.0,PRESS DIGEST - Wall Street Journal - Aug 22,0.0,1.0,0.0,0
2016-08-22 05:42:19,0.4939,Pfizer nears agreement to buy Medivation for $14 bn: reports,0.0,0.738,0.262,1
2016-08-22 06:57:00,0.34,Pfizer To Buy Medivation For Total Enterprise Value Of About $14 Bln,0.0,0.821,0.179,1
2016-08-22 07:16:00,0.4939,[$$] Pfizer Nears Agreement to Buy Medivation,0.0,0.652,0.348,1
2016-08-22 07:24:00,0.0,Pfizer to Buy Medivation for $14 Billion,0.0,1.0,0.0,0
2016-08-22 07:35:00,0.2263,Pfizer to Acquire Medivation in Deal Worth $14 Billion -- Update,0.0,0.84,0.16,1
2016-08-22 07:53:00,0.0,Pfizer To Buy Prostate-cancer Drug Maker Medivation For $14 Bln,0.0,1.0,0.0,0
2016-08-22 08:00:00,0.0,Pfizer Investors Conference Call At 9:00 AM ET,0.0,1.0,0.0,0
2016-08-22 08:18:00,0.2263,Pfizer to Acquire Medivation in Deal Worth $14 Billion -- 2nd Update,0.0,0.853,0.147,1
2016-08-22 08:27:00,0.4939,Pfizer Files 8K - Entry Into Definitive Agreement,0.0,0.652,0.348,1
2016-08-22 08:35:00,-0.6597,Pfizer Adds Key Cancer Drug in $14 Billion Biotech Deal,0.328,0.672,0.0,-1
2016-08-22 08:35:00,-0.6597,Pfizer Adds Key Drug for Cancer in $14 Billion Deal,0.328,0.672,0.0,-1
2016-08-22 08:44:00,0.2263,Pfizer to Acquire Medivation in Deal Worth $14 Billion -- 3rd Update,0.0,0.853,0.147,1
2016-08-22 09:40:53,0.0,Pfizer-Medivation Close to Signing $14B Acquisition Deal?,0.0,1.0,0.0,0
2016-08-22 10:03:00,0.0,Pfizer near deal to buy Medivation,0.0,1.0,0.0,0
2016-08-22 10:07:00,0.2263,Pfizer to Acquire Medivation in Deal Worth $14 Billion -- 4th Update,0.0,0.853,0.147,1
2016-08-22 10:43:00,0.0,Pfizer buys Medivation for $14B cash,0.0,1.0,0.0,0
2016-08-22 10:45:00,0.0,Pfizer To Acquire Medivation,0.0,1.0,0.0,0
2016-08-22 10:46:00,0.0,Pfizer to Acquire Medivation,0.0,1.0,0.0,0
2016-08-22 10:50:48,-0.7003,Pfizer will pay about $14 billion to acquire the cancer drug company Medivation,0.345,0.655,0.0,-1
2016-08-22 10:54:12,0.0,Pfizer Trumps Sanofi With Medivation Deal for $14 Billion,0.0,1.0,0.0,0
2016-08-22 10:54:39,0.0,Pfizer to buy Medivation in $14 bln deal,0.0,1.0,0.0,0
2016-08-22 10:58:21,-0.5423,Sanofi's Hostility Backfires,0.636,0.364,0.0,-1
2016-08-22 10:58:30,-0.6597,Pfizer has one-upped the competition with a $14 billion bid for a cancer drugmaker,0.286,0.714,0.0,-1
2016-08-22 11:00:20,0.0,Medivation's stock soars after Pfizer buyout deal,0.0,1.0,0.0,0
2016-08-22 11:06:49,0.0,Five Things You Need to Know to Start Your Day,0.0,1.0,0.0,0
2016-08-22 11:20:45,0.2023,[$$] Pfizer agrees $14bn takeover of Medivation,0.0,0.769,0.231,1
